,from,relationship,to
11505,2474,APPEARS_IN,7789
11506,2474,APPEARS_IN,7712
11507,2474,APPEARS_IN,7782
11508,2474,APPEARS_IN,7798
11509,2474,APPEARS_IN,7760
11510,2474,APPEARS_IN,7776
11511,2474,APPEARS_IN,7767
11512,2474,APPEARS_IN,7689
11513,2474,APPEARS_IN,7795
11514,2474,APPEARS_IN,7701
11515,2474,NOTABLE_MEMBERS,1619
11516,2474,NOTABLE_MEMBERS,2486
11517,2474,NOTABLE_MEMBERS,2546
11518,2474,NOTABLE_MEMBERS,2758
11519,2474,NOTABLE_MEMBERS,3269
11520,2474,NOTABLE_MEMBERS,3312
11521,2474,NOTABLE_MEMBERS,3631
11522,2474,NOTABLE_MEMBERS,4424
11523,2474,NOTABLE_MEMBERS,5074
11524,2474,NOTABLE_MEMBERS,5389
11525,2474,NOTABLE_MEMBERS,5421
11526,2474,NOTABLE_MEMBERS,5819
11527,2474,NOTABLE_MEMBERS,6053
11528,2474,NOTABLE_MEMBERS,7224
11529,2474,NOTABLE_MEMBERS,7506
11530,2474,NOTABLE_MEMBERS,7553
11531,2474,NOTABLE_MEMBERS,8284
11532,2475,FIRST_APPEARANCE,7736
11533,2475,FIRST_APPEARANCE,16
11534,2475,FOUND,2731
11535,2475,USE,271
11536,2476,FIRST_APPEARANCE,2786
11537,2476,FIRST_APPEARANCE,24
11538,2476,FOUND,2628
11539,2476,USE,1593
11540,2477,FIRST_APPEARANCE,7795
11541,2477,FIRST_APPEARANCE,33
11542,2477,FOUND,6282
11543,2477,USE,4946
11544,2478,FIRST_APPEARANCE,7727
11545,2478,FIRST_APPEARANCE,33
11546,2478,FOUND,5525
11547,2478,EFFECTIVE_AGAINST,3315
11548,2479,FIRST_APPEARANCE,7694
11549,2479,FIRST_APPEARANCE,10
11550,2479,APPEARS_IN,7694
11551,2479,APPEARS_IN,7736
11552,2479,APPEARS_IN,7727
11553,2479,APPEARS_IN,7789
11554,2479,APPEARS_IN,7747
11555,2479,APPEARS_IN,7753
11556,2479,APPEARS_IN,7782
11557,2479,APPEARS_IN,7798
11558,2479,INHABITANTS,2472
11559,2480,FIRST_APPEARANCE,2786
11560,2480,FIRST_APPEARANCE,24
11561,2480,COUNTRY,7873
11562,2480,INHABITANTS,3269
11563,2482,FIRST_APPEARANCE,2786
11564,2482,FIRST_APPEARANCE,24
11565,2482,RACE,3729
11566,2483,FIRST_APPEARANCE,7736
11567,2483,FIRST_APPEARANCE,16
11568,2483,FOUND,4680
11569,2483,USE,4608
11570,2484,FIRST_APPEARANCE,7673
11571,2484,FIRST_APPEARANCE,5
11572,2484,APPEARS_IN,7673
11573,2484,APPEARS_IN,7720
11574,2484,APPEARS_IN,7747
11575,2484,APPEARS_IN,7753
11576,2484,INHABITANTS,2472
11577,2485,FIRST_APPEARANCE,7747
11578,2485,FIRST_APPEARANCE,19
11579,2485,FOUND,2450
11580,2485,USE,2486
11581,2486,FIRST_APPEARANCE,7720
11582,2486,FIRST_APPEARANCE,16
11583,2486,APPEARS_IN,7720
11584,2486,APPEARS_IN,7747
11585,2486,HOMELAND,4244
11586,2486,HOMELAND,4320
11587,2486,RACE,2472
11588,2486,ALTERNATE_FORM,5544
11589,2487,FIRST_APPEARANCE,7736
11590,2487,FIRST_APPEARANCE,16
11591,2487,FOUND,3891
11592,2487,USE,1985
11593,2487,EFFECTIVE_AGAINST,6970
11594,2487,EFFECTIVE_AGAINST,6973
11595,2487,EFFECTIVE_AGAINST,6049
11596,2488,FIRST_APPEARANCE,8636
11597,2488,FIRST_APPEARANCE,6
11598,2488,LEARNED,3483
11599,2488,POWER,4550
11600,2488,POWER,2472
11601,2489,FIRST_APPEARANCE,7701
11602,2489,FIRST_APPEARANCE,35
11603,2489,FOUND,434
11604,2489,FOUND,1693
11605,2489,FOUND,2473
11606,2489,USE,5917
11607,2490,FIRST_APPEARANCE,7798
11608,2490,FIRST_APPEARANCE,24
11609,2490,HOMELAND,3766
11610,2490,RACE,2472
11611,2491,FIRST_APPEARANCE,7694
11612,2491,FIRST_APPEARANCE,10
11613,2491,FOUND,4680
11614,2492,FIRST_APPEARANCE,7798
11615,2492,FIRST_APPEARANCE,24
11616,2492,LOCATION,4336
11617,2492,OBJECTIVE,3925
11618,2492,PRIZE,5801
11619,2492,PRIZE,6442
11620,2492,PROPRIETOR,2493
11621,2493,FIRST_APPEARANCE,7798
11622,2493,FIRST_APPEARANCE,24
11623,2493,HOMELAND,3766
11624,2493,HOMETOWN,4336
11625,2493,RACE,3745
11626,2494,FIRST_APPEARANCE,7701
11627,2494,FIRST_APPEARANCE,35
11628,2495,FIRST_APPEARANCE,7701
11629,2495,FIRST_APPEARANCE,35
11630,2495,HOMELAND,3766
11631,2495,HOMETOWN,7501
11632,2495,RACE,3745
11633,2497,FIRST_APPEARANCE,7798
11634,2497,FIRST_APPEARANCE,24
11635,2497,COUNTRY,3766
11636,2497,REGION,3776
11637,2497,INHABITANTS,2498
11638,2498,FIRST_APPEARANCE,7798
11639,2498,FIRST_APPEARANCE,24
11640,2498,HOMELAND,3766
11641,2498,HOMETOWN,3776
11642,2499,FIRST_APPEARANCE,7795
11643,2499,FIRST_APPEARANCE,33
11644,2499,FOUND,2753
11645,2500,FIRST_APPEARANCE,7701
11646,2500,FIRST_APPEARANCE,35
11647,2500,LOCATION,6959
11648,2500,WARES,618
11649,2500,WARES,1863
11650,2500,WARES,1891
11651,2500,WARES,1890
11652,2500,WARES,4624
11653,2500,WARES,4722
11654,2500,WARES,5180
11655,2500,WARES,5228
11656,2500,WARES,5224
11657,2500,WARES,5237
11658,2500,WARES,7215
11659,2500,WARES,8521
11660,2500,OWNER,4165
11661,2502,FIRST_APPEARANCE,7727
11662,2502,FIRST_APPEARANCE,18
11663,2502,POWER,3034
11664,2503,FIRST_APPEARANCE,7701
11665,2503,FOUND,8516
11666,2503,FOUND,8414
11667,2503,FOUND,3502
11668,2503,FOUND,3507
11669,2503,FOUND,6605
11670,2503,FOUND,610
11671,2503,USE,7140
11672,2503,USE,5914
11673,2504,FIRST_APPEARANCE,7701
11674,2504,FOUND,610
11675,2504,FOUND,2275
11676,2504,FOUND,3502
11677,2504,FOUND,3507
11678,2504,FOUND,3787
11679,2504,FOUND,6605
11680,2504,USE,5914
11681,2504,USE,380
11682,2506,FIRST_APPEARANCE,7701
11683,2506,FIRST_APPEARANCE,35
11684,2506,COUNTRY,3766
11685,2506,POINT_OF_INTEREST,2510
11686,2506,POINT_OF_INTEREST,2516
11687,2506,POINT_OF_INTEREST,2681
11688,2506,POINT_OF_INTEREST,2682
11689,2506,POINT_OF_INTEREST,2683
11690,2506,POINT_OF_INTEREST,4335
11691,2506,POINT_OF_INTEREST,4712
11692,2506,POINT_OF_INTEREST,4358
11693,2506,POINT_OF_INTEREST,4336
11694,2506,POINT_OF_INTEREST,739
11695,2506,POINT_OF_INTEREST,2513
11696,2506,INHABITANTS,2532
11697,2506,INHABITANTS,3745
11698,2507,FIRST_APPEARANCE,7767
11699,2507,FIRST_APPEARANCE,29
11700,2507,HOMELAND,3766
11701,2507,HOMETOWN,4335
11702,2507,KINDRED,7505
11703,2507,RACE,2168
11704,2507,RACE,1959
11705,2507,AFFILIATION,7880
11706,2507,AFFILIATION,3742
11707,2507,AFFILIATION,5692
11708,2507,AFFILIATION,8569
11709,2508,FIRST_APPEARANCE,7798
11710,2508,FIRST_APPEARANCE,24
11711,2508,HOMELAND,3766
11712,2508,HOMETOWN,2512
11713,2508,KINDRED,2321
11714,2508,KINDRED,4370
11715,2508,KINDRED,5612
11716,2508,RACE,1959
11717,2508,AFFILIATION,4509
11718,2509,FIRST_APPEARANCE,7767
11719,2509,FIRST_APPEARANCE,29
11720,2509,FOUND,2517
11721,2509,FOUND,1952
11722,2509,FOUND,6677
11723,2509,FOUND,6679
11724,2509,FOUND,4335
11725,2509,FOUND,775
11726,2509,USE,5920
11727,2510,FIRST_APPEARANCE,7701
11728,2510,FIRST_APPEARANCE,35
11729,2510,COUNTRY,3766
11730,2510,REGION,2506
11731,2511,FIRST_APPEARANCE,7701
11732,2511,FIRST_APPEARANCE,35
11733,2511,COUNTRY,3766
11734,2511,REGION,2510
11735,2512,FIRST_APPEARANCE,7798
11736,2512,FIRST_APPEARANCE,24
11737,2512,COUNTRY,3766
11738,2512,POINT_OF_INTEREST,1950
11739,2512,POINT_OF_INTEREST,2517
11740,2512,POINT_OF_INTEREST,2734
11741,2512,POINT_OF_INTEREST,2515
11742,2512,POINT_OF_INTEREST,6508
11743,2512,POINT_OF_INTEREST,7591
11744,2512,INHABITANTS,1705
11745,2512,INHABITANTS,5222
11746,2512,INHABITANTS,5587
11747,2512,INHABITANTS,6957
11748,2512,INHABITANTS,8123
11749,2513,FIRST_APPEARANCE,7701
11750,2513,FIRST_APPEARANCE,35
11751,2513,COUNTRY,3766
11752,2513,REGION,2506
11753,2514,FIRST_APPEARANCE,3801
11754,2514,FIRST_APPEARANCE,32
11755,2514,FOUND,75
11756,2514,USE,5914
11757,2514,USE,1997
11758,2514,USE,3305
11759,2515,FIRST_APPEARANCE,7798
11760,2515,FIRST_APPEARANCE,24
11761,2515,COUNTRY,3766
11762,2515,REGION,2517
11763,2515,INHABITANTS,2508
11764,2516,FIRST_APPEARANCE,7701
11765,2516,FIRST_APPEARANCE,35
11766,2516,COUNTRY,3766
11767,2516,REGION,2510
11768,2517,FIRST_APPEARANCE,7798
11769,2517,FIRST_APPEARANCE,24
11770,2517,APPEARS_IN,7798
11771,2517,APPEARS_IN,7767
11772,2517,APPEARS_IN,7701
11773,2517,COUNTRY,3766
11774,2517,REGION,2512
11775,2517,REGION,2506
11776,2517,POINT_OF_INTEREST,1950
11777,2517,POINT_OF_INTEREST,2515
11778,2517,POINT_OF_INTEREST,2734
11779,2517,POINT_OF_INTEREST,8122
11780,2517,POINT_OF_INTEREST,3353
11781,2517,POINT_OF_INTEREST,6987
11782,2517,INHABITANTS,1705
11783,2517,INHABITANTS,2508
11784,2517,INHABITANTS,8123
11785,2517,INHABITANTS,2547
11786,2517,INHABITANTS,5587
11787,2517,INHABITANTS,763
11788,2517,INHABITANTS,2411
11789,2517,INHABITANTS,4664
11790,2517,INHABITANTS,4745
11791,2517,INHABITANTS,5588
11792,2517,INHABITANTS,8569
11793,2518,FIRST_APPEARANCE,7782
11794,2518,FIRST_APPEARANCE,23
11795,2518,FOUND,2527
11796,2519,FIRST_APPEARANCE,7767
11797,2519,FIRST_APPEARANCE,29
11798,2519,LEARNED,3927
11799,2519,POWER,6898
11800,2519,POWER,2517
11801,2520,FIRST_APPEARANCE,7767
11802,2520,FIRST_APPEARANCE,29
11803,2520,FOUND,149
11804,2520,FOUND,6583
11805,2520,FOUND,2601
11806,2520,USE,3094
11807,2520,USE,4939
11808,2521,FIRST_APPEARANCE,7767
11809,2521,FIRST_APPEARANCE,29
11810,2521,COUNTRY,3766
11811,2521,REGION,2517
11812,2521,POINT_OF_INTEREST,2520
11813,2521,POINT_OF_INTEREST,3084
11814,2522,FIRST_APPEARANCE,7747
11815,2522,FIRST_APPEARANCE,7753
11816,2522,FIRST_APPEARANCE,19
11817,2522,FOUND,3462
11818,2523,FIRST_APPEARANCE,7789
11819,2523,FIRST_APPEARANCE,21
11820,2523,FOUND,2177
11821,2523,FOUND,2725
11822,2523,FOUND,5639
11823,2523,USE,8040
11824,2524,FIRST_APPEARANCE,7736
11825,2524,FIRST_APPEARANCE,16
11826,2524,LEARNED,3322
11827,2524,LEARNED,8664
11828,2526,FIRST_APPEARANCE,7694
11829,2526,FIRST_APPEARANCE,10
11830,2526,APPEARS_IN,7694
11831,2526,APPEARS_IN,7736
11832,2526,APPEARS_IN,7789
11833,2526,APPEARS_IN,7798
11834,2526,APPEARS_IN,7767
11835,2526,HOMELAND,2099
11836,2526,KINDRED,2083
11837,2526,KINDRED,5403
11838,2526,RACE,1959
11839,2526,AFFILIATION,3137
11840,2527,FIRST_APPEARANCE,7747
11841,2527,FIRST_APPEARANCE,7753
11842,2527,FIRST_APPEARANCE,19
11843,2527,APPEARS_IN,7747
11844,2527,APPEARS_IN,7753
11845,2527,APPEARS_IN,7782
11846,2527,RACE,3745
11847,2527,AFFILIATION,5594
11848,2528,FIRST_APPEARANCE,7701
11849,2528,FIRST_APPEARANCE,35
11850,2528,FOUND,2532
11851,2528,USE,242
11852,2528,USE,1693
11853,2528,USE,5917
11854,2528,USE,6442
11855,2528,USE,4165
11856,2528,USE,5218
11857,2529,FIRST_APPEARANCE,7701
11858,2529,FIRST_APPEARANCE,35
11859,2529,FOUND,2532
11860,2529,USE,242
11861,2529,USE,1693
11862,2529,USE,5917
11863,2529,USE,6442
11864,2529,USE,4165
11865,2529,USE,5218
11866,2530,FIRST_APPEARANCE,7701
11867,2530,FIRST_APPEARANCE,35
11868,2530,FOUND,2532
11869,2530,USE,5917
11870,2530,USE,242
11871,2531,FIRST_APPEARANCE,7701
11872,2531,FIRST_APPEARANCE,35
11873,2531,FOUND,2532
11874,2531,USE,6055
11875,2531,USE,1693
11876,2531,USE,5917
11877,2531,USE,242
11878,2531,USE,6442
11879,2531,USE,4165
11880,2531,USE,5218
11881,2532,FIRST_APPEARANCE,7701
11882,2532,FIRST_APPEARANCE,35
11883,2532,LOCATION,4336
11884,2532,LOCATION,4335
11885,2532,LOCATION,2962
11886,2532,SPOILS,2531
11887,2532,SPOILS,2528
11888,2532,SPOILS,6789
11889,2532,SPOILS,6788
11890,2533,FIRST_APPEARANCE,7701
11891,2533,FIRST_APPEARANCE,35
11892,2533,COUNTRY,3766
11893,2533,REGION,2506
11894,2534,FIRST_APPEARANCE,7701
11895,2534,FIRST_APPEARANCE,35
11896,2534,LOCATION,2979
11897,2534,WARES,2981
11898,2534,WARES,2977
11899,2534,WARES,2972
11900,2534,OWNER,3375
11901,2534,EMPLOYEES,6608
11902,2536,FIRST_APPEARANCE,7798
11903,2536,FIRST_APPEARANCE,24
11904,2536,APPEARANCES,7798
11905,2536,APPEARANCES,7767
11906,2536,LEARNED,3600
11907,2536,LEARNED,2250
11908,2536,REQUIREMENTS,7464
11909,2537,FIRST_APPEARANCE,7789
11910,2537,FIRST_APPEARANCE,21
11911,2537,FOUND,5010
11912,2537,USE,5957
11913,2538,FIRST_APPEARANCE,7795
11914,2538,FIRST_APPEARANCE,33
11915,2538,HOMELAND,3814
11916,2538,HOMETOWN,3814
11917,2538,RACE,3728
11918,2540,FIRST_APPEARANCE,7720
11919,2540,FIRST_APPEARANCE,11
11920,2540,LOCATION,2461
11921,2540,EFFECTIVE_WEAPON,626
11922,2540,SPOILS,3893
11923,2540,SPOILS,3520
11924,2541,FIRST_APPEARANCE,7753
11925,2541,FIRST_APPEARANCE,19
11926,2541,LOCATION,7028
11927,2541,LOCATION,5577
11928,2541,WEAPON,437
11929,2541,EFFECTIVE_WEAPON,626
11930,2543,FIRST_APPEARANCE,7701
11931,2543,FOUND,576
11932,2543,FOUND,3787
11933,2543,FOUND,7497
11934,2543,USE,6268
11935,2543,USE,7464
11936,2543,USE,5914
11937,2544,FIRST_APPEARANCE,7701
11938,2544,FIRST_APPEARANCE,35
11939,2544,FOUND,576
11940,2544,FOUND,3787
11941,2544,FOUND,7497
11942,2544,USE,6268
11943,2544,USE,7140
11944,2544,USE,5914
11945,2545,FIRST_APPEARANCE,7701
11946,2545,FIRST_APPEARANCE,35
11947,2545,HOMELAND,3766
11948,2545,HOMETOWN,2979
11949,2546,FIRST_APPEARANCE,7814
11950,2546,HOMELAND,4244
11951,2546,RACE,2472
11952,2547,FIRST_APPEARANCE,7798
11953,2547,FIRST_APPEARANCE,24
11954,2547,HOMELAND,3766
11955,2547,HOMETOWN,2517
11956,2547,RACE,5222
11957,2548,FIRST_APPEARANCE,7727
11958,2548,FIRST_APPEARANCE,33
11959,2548,FOUND,7436
11960,2549,FIRST_APPEARANCE,7789
11961,2549,FIRST_APPEARANCE,21
11962,2549,COUNTRY,3345
11963,2549,REGION,8478
11964,2550,FIRST_APPEARANCE,7776
11965,2550,FIRST_APPEARANCE,27
11966,2550,HOMELAND,5425
11967,2550,HOMETOWN,8404
11968,2550,RACE,3745
11969,2551,FIRST_APPEARANCE,7736
11970,2551,FIRST_APPEARANCE,16
11971,2551,COUNTRY,3766
11972,2551,REGION,6771
11973,2551,POINT_OF_INTEREST,8107
11974,2552,FIRST_APPEARANCE,7782
11975,2552,FIRST_APPEARANCE,23
11976,2552,HOMELAND,3766
11977,2552,HOMETOWN,5127
11978,2552,RACE,5122
11979,2552,AFFILIATION,2726
11980,2553,FIRST_APPEARANCE,7727
11981,2553,FIRST_APPEARANCE,18
11982,2553,COUNTRY,7604
11983,2553,REGION,7118
11984,2554,SERIES,3804
11985,2554,DEBUT,3801
11986,2554,DEBUT,32
11987,2554,APPEARS_IN,3802
11988,2554,APPEARS_IN,34
11989,2554,WEAPON,3081
11990,2555,FIRST_APPEARANCE,7767
11991,2555,FIRST_APPEARANCE,29
11992,2555,APPEARANCES,7767
11993,2555,APPEARANCES,3801
11994,2555,APPEARANCES,3802
11995,2555,FOUND,2557
11996,2555,FOUND,2554
11997,2555,USE,2557
11998,2555,USE,4946
11999,2556,FIRST_APPEARANCE,7767
12000,2556,FIRST_APPEARANCE,29
12001,2556,APPEARANCES,7767
12002,2556,APPEARANCES,3801
12003,2556,APPEARANCES,3802
12004,2556,FOUND,2557
12005,2556,FOUND,2554
12006,2556,USE,2557
12007,2556,USE,4946
12008,2557,FIRST_APPEARANCE,7767
12009,2557,FIRST_APPEARANCE,29
12010,2557,APPEARS_IN,3801
12011,2557,HOMELAND,7845
12012,2557,HOMETOWN,6984
12013,2557,KINDRED,3742
12014,2557,KINDRED,5974
12015,2557,RACE,7464
12016,2557,RACE,2993
12017,2557,ALTERNATE_FORM,3094
12018,2557,ALTERNATE_FORM,3087
12019,2557,ALTERNATE_FORM,8443
12020,2557,ALTERNATE_FORM,4939
12021,2557,AFFILIATION,4550
12022,2557,AFFILIATION,4318
12023,2557,AFFILIATION,4317
12024,2557,AFFILIATION,4227
12025,2557,AFFILIATION,7880
12026,2557,AFFILIATION,4486
12027,2557,AFFILIATION,3875
12028,2557,AFFILIATION,5566
12029,2557,AFFILIATION,3389
12030,2559,FIRST_APPEARANCE,7727
12031,2559,FIRST_APPEARANCE,18
12032,2559,APPEARANCES,7727
12033,2559,APPEARANCES,3801
12034,2559,APPEARANCES,3802
12035,2559,APPEARANCES,7701
12036,2559,POWER,4550
12037,2559,POWER,2560
12038,2559,POWER,3270
12039,2559,POWER,242
12040,2559,FOUND,132
12041,2560,FIRST_APPEARANCE,7727
12042,2560,FIRST_APPEARANCE,18
12043,2560,APPEARS_IN,7727
12044,2560,APPEARS_IN,8093
12045,2560,APPEARS_IN,7701
12046,2560,APPEARS_IN,3801
12047,2560,APPEARS_IN,3802
12048,2560,RACE,1959
12049,2560,ALTERNATE_FORM_OF,4550
12050,2560,ALTERNATE_FORM_OF,8586
12051,2561,FIRST_APPEARANCE,7795
12052,2561,FIRST_APPEARANCE,33
12053,2561,APPEARANCES,7795
12054,2561,APPEARANCES,7701
12055,2561,FOUND,2018
12056,2561,FOUND,132
12057,2561,USE,4550
12058,2561,USE,7468
12059,2561,USE,2564
12060,2561,USE,242
12061,2562,FIRST_APPEARANCE,7701
12062,2562,FIRST_APPEARANCE,35
12063,2562,FOUND,132
12064,2562,USE,242
12065,2563,FIRST_APPEARANCE,7727
12066,2563,FIRST_APPEARANCE,18
12067,2563,APPEARANCES,7727
12068,2563,APPEARANCES,3801
12069,2563,APPEARANCES,3802
12070,2563,APPEARANCES,7701
12071,2563,POWER,4550
12072,2563,POWER,2560
12073,2563,POWER,3270
12074,2563,POWER,242
12075,2563,FOUND,132
12076,2564,FIRST_APPEARANCE,7727
12077,2564,FIRST_APPEARANCE,18
12078,2564,APPEARANCES,7727
12079,2564,APPEARANCES,7795
12080,2564,APPEARANCES,7701
12081,2564,FOUND,2559
12082,2564,FOUND,2561
12083,2564,FOUND,132
12084,2564,FOUND,2560
12085,2565,FIRST_APPEARANCE,3801
12086,2565,FIRST_APPEARANCE,32
12087,2565,APPEARANCES,3802
12088,2565,APPEARANCES,34
12089,2565,LOCATION,5664
12090,2565,LOCATION,7595
12091,2565,LOCATION,75
12092,2565,WEAPON,7464
12093,2565,WEAPON,6382
12094,2565,EFFECTIVE_WEAPON,3684
12095,2565,EFFECTIVE_WEAPON,1632
12096,2565,EFFECTIVE_WEAPON,2696
12097,2565,SPOILS,2566
12098,2565,SPOILS,2567
12099,2566,FIRST_APPEARANCE,3801
12100,2566,FIRST_APPEARANCE,32
12101,2566,APPEARANCES,3801
12102,2566,APPEARANCES,3802
12103,2566,FOUND,2565
12104,2566,FOUND,2565
12105,2566,USE,4946
12106,2567,FIRST_APPEARANCE,3801
12107,2567,FIRST_APPEARANCE,32
12108,2567,APPEARANCES,3801
12109,2567,APPEARANCES,3802
12110,2567,FOUND,2565
12111,2567,FOUND,2565
12112,2567,USE,4946
12113,2568,FIRST_APPEARANCE,7782
12114,2568,FIRST_APPEARANCE,23
12115,2568,HOMELAND,3766
12116,2568,KINDRED,7318
12117,2568,RACE,2121
12118,2569,FIRST_APPEARANCE,7694
12119,2569,FIRST_APPEARANCE,10
12120,2569,FOUND,4549
12121,2570,FIRST_APPEARANCE,7694
12122,2570,FIRST_APPEARANCE,10
12123,2570,FOUND,4549
12124,2573,FIRST_APPEARANCE,7789
12125,2573,FIRST_APPEARANCE,21
12126,2573,FOUND,434
12127,2574,FIRST_APPEARANCE,7701
12128,2574,FIRST_APPEARANCE,35
12129,2574,HOMELAND,3766
12130,2574,KINDRED,6465
12131,2574,RACE,3745
12132,2575,FIRST_APPEARANCE,7720
12133,2575,FIRST_APPEARANCE,11
12134,2575,APPEARANCES,7720
12135,2575,APPEARANCES,7753
12136,2575,APPEARANCES,7709
12137,2575,LOCATION,185
12138,2575,LOCATION,3171
12139,2575,LOCATION,2451
12140,2575,LOCATION,7406
12141,2575,LOCATION,7530
12142,2575,EFFECTIVE_WEAPON,7464
12143,2577,GAME,7701
12144,2577,GAME,35
12145,2577,LOCATION,6885
12146,2577,MAIN_ITEM,4930
12147,2577,BOSS,5221
12148,2578,FIRST_APPEARANCE,7701
12149,2578,FIRST_APPEARANCE,35
12150,2578,GIVER,123
12151,2578,TYPE,6055
12152,2578,LOCATION,6274
12153,2578,REWARDS,6442
12154,2579,FIRST_APPEARANCE,7701
12155,2579,FIRST_APPEARANCE,35
12156,2579,GIVER,5809
12157,2579,TYPE,6055
12158,2579,LOCATION,4055
12159,2579,PREREQUISITES,827
12160,2580,FIRST_APPEARANCE,7701
12161,2580,FIRST_APPEARANCE,35
12162,2580,FOUND,359
12163,2582,FIRST_APPEARANCE,7701
12164,2582,FIRST_APPEARANCE,35
12165,2582,HOMELAND,3766
12166,2582,HOMETOWN,8662
12167,2582,KINDRED,4099
12168,2582,KINDRED,4235
12169,2582,KINDRED,6600
12170,2582,RACE,8670
12171,2583,FIRST_APPEARANCE,7701
12172,2583,FIRST_APPEARANCE,35
12173,2583,COUNTRY,3766
12174,2583,REGION,2506
12175,2584,FIRST_APPEARANCE,7701
12176,2584,FIRST_APPEARANCE,35
12177,2584,COUNTRY,3766
12178,2584,REGION,2275
12179,2585,FIRST_APPEARANCE,7701
12180,2585,FIRST_APPEARANCE,35
12181,2585,LOCATION,2323
12182,2585,LOCATION,2956
12183,2585,LOCATION,97
12184,2585,WEAPON,4613
12185,2585,WEAPON,4614
12186,2585,WEAPON,4616
12187,2585,WEAPON,4617
12188,2585,WEAPON,4615
12189,2585,WEAPON,6203
12190,2585,WEAPON,6204
12191,2585,WEAPON,2399
12192,2585,WEAPON,4618
12193,2585,WEAPON,7305
12194,2585,WEAPON,7306
12195,2585,WEAPON,2746
12196,2585,WEAPON,7331
12197,2585,EFFECTIVE_WEAPON,3820
12198,2585,EFFECTIVE_WEAPON,549
12199,2585,EFFECTIVE_WEAPON,2809
12200,2585,EFFECTIVE_WEAPON,2810
12201,2585,EFFECTIVE_WEAPON,3329
12202,2585,EFFECTIVE_WEAPON,3832
12203,2585,SPOILS,4623
12204,2585,SPOILS,4627
12205,2585,SPOILS,6178
12206,2586,FIRST_APPEARANCE,7736
12207,2586,FIRST_APPEARANCE,16
12208,2586,APPEARANCES,7736
12209,2586,APPEARANCES,7727
12210,2586,APPEARANCES,7789
12211,2586,APPEARANCES,7701
12212,2586,FOUND,4336
12213,2586,FOUND,7054
12214,2586,FOUND,5270
12215,2586,FOUND,3342
12216,2586,FOUND,3787
12217,2586,FOUND,2323
12218,2586,FOUND,696
12219,2586,FOUND,7631
12220,2586,FOUND,273
12221,2586,FOUND,4078
12222,2586,FOUND,3215
12223,2586,USE,1693
12224,2586,EFFECTIVE_AGAINST,214
12225,2586,EFFECTIVE_AGAINST,5274
12226,2586,EFFECTIVE_AGAINST,8507
12227,2586,EFFECTIVE_AGAINST,551
12228,2586,EFFECTIVE_AGAINST,3837
12229,2586,EFFECTIVE_AGAINST,3827
12230,2586,EFFECTIVE_AGAINST,8441
12231,2586,EFFECTIVE_AGAINST,4619
12232,2586,EFFECTIVE_AGAINST,2805
12233,2587,FIRST_APPEARANCE,7736
12234,2587,FIRST_APPEARANCE,16
12235,2587,APPEARANCES,7736
12236,2587,APPEARANCES,7727
12237,2587,APPEARANCES,7789
12238,2587,APPEARANCES,7701
12239,2587,FOUND,4336
12240,2587,FOUND,7054
12241,2587,FOUND,5270
12242,2587,FOUND,3342
12243,2587,FOUND,3787
12244,2587,FOUND,2323
12245,2587,FOUND,696
12246,2587,FOUND,7631
12247,2587,FOUND,273
12248,2587,FOUND,4078
12249,2587,FOUND,3215
12250,2587,USE,1693
12251,2587,EFFECTIVE_AGAINST,214
12252,2587,EFFECTIVE_AGAINST,5274
12253,2587,EFFECTIVE_AGAINST,8507
12254,2587,EFFECTIVE_AGAINST,551
12255,2587,EFFECTIVE_AGAINST,3837
12256,2587,EFFECTIVE_AGAINST,3827
12257,2587,EFFECTIVE_AGAINST,8441
12258,2587,EFFECTIVE_AGAINST,4619
12259,2587,EFFECTIVE_AGAINST,2805
12260,2588,FIRST_APPEARANCE,7795
12261,2588,FIRST_APPEARANCE,33
12262,2588,USE,4550
12263,2588,USE,2592
12264,2589,FIRST_APPEARANCE,7720
12265,2589,FIRST_APPEARANCE,11
12266,2589,LOCATION,8164
12267,2589,EFFECTIVE_WEAPON,7464
12268,2589,EFFECTIVE_WEAPON,4784
12269,2590,FIRST_APPEARANCE,7727
12270,2590,FIRST_APPEARANCE,18
12271,2590,APPEARANCES,7727
12272,2590,APPEARANCES,7789
12273,2590,APPEARANCES,7782
12274,2590,APPEARANCES,7760
12275,2590,APPEARANCES,7776
12276,2590,APPEARANCES,7767
12277,2590,APPEARANCES,7701
12278,2590,ATTACK_METHOD,4550
12279,2590,EFFECTIVE_WEAPON,7464
12280,2590,SPOILS,3519
12281,2590,SPOILS,1609
12282,2590,SPOILS,6170
12283,2591,FIRST_APPEARANCE,7782
12284,2591,FIRST_APPEARANCE,23
12285,2591,FOUND,2220
12286,2591,USE,4550
12287,2591,USE,8443
12288,2592,FIRST_APPEARANCE,7795
12289,2592,FIRST_APPEARANCE,33
12290,2592,FOUND,3934
12291,2593,FIRST_APPEARANCE,7736
12292,2593,FIRST_APPEARANCE,16
12293,2593,APPEARANCES,7694
12294,2593,APPEARANCES,7736
12295,2593,APPEARANCES,7727
12296,2593,APPEARANCES,7798
12297,2593,APPEARANCES,7760
12298,2593,APPEARANCES,7776
12299,2593,APPEARANCES,7767
12300,2593,APPEARANCES,7701
12301,2593,EFFECTIVE_WEAPON,7464
12302,2593,EFFECTIVE_WEAPON,271
12303,2593,EFFECTIVE_WEAPON,676
